id	sale_price
1345350391	1007.99 BRL
1345351786	1007.99 BRL
1345353401	1055.99 BRL
1345357548	1007.99 BRL
1345361302	1151.99 BRL
1345365759	1151.99 BRL
1345370466	1007.99 BRL
1345374286	1055.99 BRL
1345378079	1055.99 BRL
1345388186	1055.99 BRL
1345391288	1055.99 BRL
1345394204	1055.99 BRL
1345396862	1007.99 BRL
1345405378	767.99 BRL
1345408172	767.99 BRL
1345410476	767.99 BRL
1345411992	767.99 BRL
1347680233	383.99 BRL
1347698163	383.99 BRL
1347700315	383.99 BRL
1347703504	383.99 BRL
1347707128	383.99 BRL
1352635310	71.99 BRL
1352642531	71.99 BRL
1352645109	71.99 BRL
1352647662	71.99 BRL
1352653908	17.27 BRL
1352654672	17.27 BRL
1352661435	124.79 BRL
1352793791	124.79 BRL
1354335313	287.99 BRL
1354398080	287.99 BRL
1354399698	287.99 BRL
1354401314	287.99 BRL
1354403398	287.99 BRL
1357083155	1103.99 BRL
1357090660	1103.99 BRL
1357092912	1151.99 BRL
1357095744	1103.99 BRL
1357097837	1151.99 BRL
1357101211	1151.99 BRL
1357105388	1103.99 BRL
1357107239	1151.99 BRL
1357109433	1103.99 BRL
1357111870	1151.99 BRL
1357113996	1151.99 BRL
1357115932	1151.99 BRL
1357117935	1103.99 BRL
1357120032	1103.99 BRL
1357121710	1103.99 BRL
1357124349	1151.99 BRL
1357125784	1151.99 BRL
1357127709	1151.99 BRL
1357129599	1103.99 BRL
1357131845	1103.99 BRL
1357133667	1151.99 BRL
1357136404	1151.99 BRL
1357853223	1103.99 BRL
1375389280	33.59 BRL
1375397847	33.59 BRL
1375409065	33.59 BRL
1375413014	33.59 BRL
1375422286	33.59 BRL
1375426622	33.59 BRL
1375464560	86.39 BRL
1375562466	479.99 BRL
1375602829	263.99 BRL
1375634654	729.59 BRL
1383297263	86.39 BRL
1383306889	23.99 BRL
1392814233	4319.99 BRL
1392816960	959.99 BRL
1405180618	143.99 BRL
1437559405	172.79 BRL
1477124260	47.99 BRL
1477149478	57.59 BRL
1477643427	67.19 BRL
1478055446	153.59 BRL
1478791802	67.19 BRL
1478791804	67.19 BRL
1484794335	191.99 BRL
1491219535	95.99 BRL
1491234262	287.99 BRL
1491234375	287.99 BRL
1491239216	287.99 BRL
1491241293	287.99 BRL
1491246642	287.99 BRL
1491626214	28.79 BRL
1491643753	134.39 BRL
1492562400	191.99 BRL
1492568974	191.99 BRL
1492571809	191.99 BRL
1492575559	191.99 BRL
1492577911	191.99 BRL
1518398222	71.99 BRL
1518399735	71.99 BRL
1518401670	71.99 BRL
1518404347	71.99 BRL
1518719850	671.99 BRL
1518726589	671.99 BRL
1518729538	671.99 BRL
1518732777	671.99 BRL
1518735022	671.99 BRL
1518737036	671.99 BRL
1518739055	671.99 BRL
1518741657	671.99 BRL
1518743650	671.99 BRL
1518744900	671.99 BRL
1518748412	671.99 BRL
1518749983	671.99 BRL
1519523041	67.19 BRL
1519523043	67.19 BRL
1519523044	67.19 BRL
1520690773	67.19 BRL
1520757680	67.19 BRL
1520925933	19.19 BRL
1520938880	19.19 BRL
1520940993	19.19 BRL
1520942487	19.19 BRL
1520944015	19.19 BRL
1520959050	19.19 BRL
1520960043	19.19 BRL
1520961606	19.19 BRL
1520963522	19.19 BRL
1520964223	67.19 BRL
1520964779	19.19 BRL
1520966626	19.19 BRL
1520970988	67.19 BRL
1520976980	67.19 BRL
1520982158	67.19 BRL
1520983885	67.19 BRL
1521004153	67.19 BRL
1523053407	47.99 BRL
1523053804	47.99 BRL
1523056741	47.99 BRL
1523057795	47.99 BRL
1523058630	47.99 BRL
1523061314	47.99 BRL
1523062775	47.99 BRL
1523064136	47.99 BRL
1523067504	47.99 BRL
1523072630	47.99 BRL
1523073719	47.99 BRL
1525358491	57.59 BRL
1527282511	81.59 BRL
1527618705	38.39 BRL
1527655146	95.99 BRL
