janela,data,numero_fatura,valor_total,campanha,imposto,situacao,arquivo
29-08 a 19-09,2026-09-10,(sem nº — aporte de saldo),"6,45",,,recusada,Glauber_Meta_2026-09-10_APORTE-SEM-NF_RECUSADA_2.pdf
29-08 a 19-09,2026-09-10,FBADS-757-106564458,"689,65","605,86","83,79",paga,Glauber_Meta_2026-09-10_NF106564458.pdf
29-08 a 19-09,2026-09-10,FBADS-757-106564462,"11,69","10,27","1,42",paga,Glauber_Meta_2026-09-10_NF106564462.pdf
29-08 a 19-09,2026-09-10,FBADS-757-106564527,"5,85","5,14","0,71",paga,Glauber_Meta_2026-09-10_NF106564527.pdf
29-08 a 19-09,2026-09-10,FBADS-757-106564529,"11,69","10,27","1,42",paga,Glauber_Meta_2026-09-10_NF106564529.pdf
29-08 a 19-09,2026-09-10,FBADS-757-106564618,"11,69","10,27","1,42",paga,Glauber_Meta_2026-09-10_NF106564618.pdf
29-08 a 19-09,2026-09-11,(sem nº — aporte de saldo),"7,38",,,recusada,Glauber_Meta_2026-09-11_APORTE-SEM-NF_RECUSADA.pdf
29-08 a 19-09,2026-09-11,(sem nº — aporte de saldo),"0,35",,,recusada,Glauber_Meta_2026-09-11_APORTE-SEM-NF_RECUSADA_2.pdf
29-08 a 19-09,2026-09-11,FBADS-757-106570656,"7,38","6,48","0,90",paga,Glauber_Meta_2026-09-11_NF106570656.pdf
29-08 a 19-09,2026-09-11,FBADS-757-106571642,"0,35","0,31","0,04",paga,Glauber_Meta_2026-09-11_NF106571642.pdf
29-08 a 19-09,2026-09-11,FBADS-757-106571650,"239,03","209,99","29,04",paga,Glauber_Meta_2026-09-11_NF106571650.pdf
29-08 a 19-09,2026-09-12,FBADS-757-106573454,"6,02","5,29","0,73",paga,Glauber_Meta_2026-09-12_NF106573454.pdf
29-08 a 19-09,2026-09-12,FBADS-757-106573467,"246,62","216,66","29,96",paga,Glauber_Meta_2026-09-12_NF106573467.pdf
29-08 a 19-09,2026-09-12,FBADS-757-106575242,"296,85","260,78","36,07",paga,Glauber_Meta_2026-09-12_NF106575242.pdf
29-08 a 19-09,2026-09-12,FBADS-757-106575311,"11,92","10,47","1,45",paga,Glauber_Meta_2026-09-12_NF106575311.pdf
29-08 a 19-09,2026-09-12,FBADS-757-106575574,"21,72","19,08","2,64",paga,Glauber_Meta_2026-09-12_NF106575574.pdf
29-08 a 19-09,2026-09-12,FBADS-757-106575577,"11,73","10,30","1,43",paga,Glauber_Meta_2026-09-12_NF106575577.pdf
29-08 a 19-09,2026-09-12,FBADS-757-106575891,"38,12","33,49","4,63",paga,Glauber_Meta_2026-09-12_NF106575891.pdf
29-08 a 19-09,2026-09-12,FBADS-757-106575895,"11,73","10,30","1,43",paga,Glauber_Meta_2026-09-12_NF106575895.pdf
